region_id,center_node_idx,cell_id
UPMC_c003_v001_r001_reg029,5511,526005
UPMC_c003_v001_r001_reg029,6328,526832
UPMC_c003_v001_r001_reg029,7791,528327
UPMC_c003_v001_r001_reg030,1452,530967
UPMC_c003_v001_r001_reg030,2630,532240
UPMC_c003_v001_r001_reg030,463,529918
UPMC_c003_v001_r001_reg030,1551,531079
UPMC_c003_v001_r001_reg034,2609,541952
UPMC_c003_v001_r001_reg034,2572,541913
UPMC_c003_v001_r001_reg034,2388,541714
UPMC_c003_v001_r001_reg034,2816,542178
UPMC_c004_v001_r001_reg002,1861,556512
UPMC_c004_v001_r001_reg002,2619,557352
UPMC_c004_v001_r001_reg002,61,554524
UPMC_c004_v001_r001_reg002,1645,556259
UPMC_c004_v001_r001_reg002,424,554925
UPMC_c004_v001_r001_reg003,9481,569426
UPMC_c004_v001_r001_reg003,2521,562421
UPMC_c004_v001_r001_reg003,395,560281
UPMC_c004_v001_r001_reg003,4991,564907
UPMC_c004_v001_r001_reg003,3628,563532
UPMC_c004_v001_r001_reg003,5830,565754
UPMC_c004_v001_r001_reg003,5654,565575
UPMC_c004_v001_r001_reg003,3267,563169
UPMC_c004_v001_r001_reg003,10987,570945
UPMC_c004_v001_r001_reg003,5987,565913
UPMC_c004_v001_r001_reg003,10604,570557
UPMC_c004_v001_r001_reg003,5112,565028
UPMC_c004_v001_r001_reg005,3391,582892
UPMC_c004_v001_r001_reg005,6521,586035
UPMC_c004_v001_r001_reg005,868,580333
UPMC_c004_v001_r001_reg005,9959,589500
UPMC_c004_v001_r001_reg005,881,580346
UPMC_c004_v001_r001_reg005,1112,580581
UPMC_c004_v001_r001_reg005,379,579840
UPMC_c004_v001_r001_reg005,520,579982
UPMC_c004_v001_r001_reg005,6351,585864
UPMC_c004_v001_r001_reg005,5418,584929
UPMC_c004_v001_r001_reg005,772,580235
UPMC_c004_v001_r001_reg008,8572,604899
UPMC_c004_v001_r001_reg008,7318,603620
UPMC_c004_v001_r001_reg008,4686,600942
UPMC_c004_v001_r001_reg008,5060,601329
UPMC_c004_v001_r001_reg008,1113,597260
UPMC_c004_v001_r001_reg008,1687,597849
UPMC_c004_v001_r001_reg008,7679,603988
UPMC_c004_v001_r001_reg008,2534,598715
UPMC_c004_v001_r001_reg008,5937,602219
UPMC_c004_v001_r001_reg008,1107,597253
UPMC_c004_v001_r001_reg008,1387,597542
UPMC_c004_v001_r001_reg009,11559,618827
UPMC_c004_v001_r001_reg009,6407,613653
UPMC_c004_v001_r001_reg009,1977,609204
UPMC_c004_v001_r001_reg009,11978,619248
UPMC_c004_v001_r001_reg009,7058,614310
UPMC_c004_v001_r001_reg009,5592,612834
UPMC_c004_v001_r001_reg009,12792,620068
UPMC_c004_v001_r001_reg009,2490,609719
UPMC_c004_v001_r001_reg009,9408,616671
UPMC_c004_v001_r001_reg009,12164,619435
UPMC_c004_v001_r001_reg009,8966,616225
UPMC_c004_v001_r001_reg009,12568,619840
UPMC_c004_v001_r001_reg009,7356,614609
UPMC_c004_v001_r001_reg010,4053,624401
UPMC_c004_v001_r001_reg010,1392,621634
UPMC_c004_v001_r001_reg010,230,620421
UPMC_c004_v001_r001_reg010,3670,624001
UPMC_c004_v001_r001_reg011,3929,628553
UPMC_c004_v001_r001_reg011,2675,627296
UPMC_c004_v001_r001_reg011,1698,626311
UPMC_c004_v001_r001_reg011,3462,628085
UPMC_c004_v001_r001_reg011,1105,625711
UPMC_c004_v001_r001_reg011,4728,629353
UPMC_c004_v001_r001_reg013,3964,637918
UPMC_c004_v001_r001_reg013,4198,638158
UPMC_c004_v001_r001_reg013,2310,636212
UPMC_c004_v001_r001_reg013,1068,634928
UPMC_c004_v001_r001_reg013,108,633947
UPMC_c004_v001_r001_reg014,346,640030
UPMC_c004_v001_r001_reg014,402,640088
UPMC_c004_v001_r001_reg014,157,639835
UPMC_c004_v001_r001_reg016,3009,652871
UPMC_c004_v001_r001_reg016,6572,656458
UPMC_c004_v001_r001_reg016,11120,661025
UPMC_c004_v001_r001_reg016,11839,661747
UPMC_c004_v001_r001_reg016,6067,655947
UPMC_c004_v001_r001_reg016,9518,659420
UPMC_c004_v001_r001_reg016,13623,663542
UPMC_c004_v001_r001_reg016,8789,658689
UPMC_c004_v001_r001_reg016,8078,657974
UPMC_c004_v001_r001_reg016,2622,652483
UPMC_c004_v001_r001_reg016,3187,653050
UPMC_c004_v001_r001_reg016,8772,658672
UPMC_c004_v001_r001_reg016,1309,651169
UPMC_c004_v001_r001_reg016,15402,665327
UPMC_c004_v001_r001_reg016,11223,661128
UPMC_c004_v001_r001_reg016,1542,651403
UPMC_c004_v001_r001_reg017,5923,672575
UPMC_c004_v001_r001_reg017,5805,672455
UPMC_c004_v001_r001_reg017,2315,668930
