CELL_ID,X,Y
1579,1576,770
1587,213,780
1581,762,774
1585,1704,777
1584,2252,774
1580,320,774
1589,737,779
1608,1053,783
1591,1345,781
1583,1071,775
1590,1086,780
1601,1138,783
1597,2073,782
1595,2372,780
1604,2162,784
1605,2301,784
1614,1299,784
1602,1184,784
1611,479,785
1599,534,785
1616,788,788
1607,829,785
1596,1264,781
1618,1991,789
1598,2408,782
1603,1484,783
1609,1835,786
1606,2681,784
1610,293,787
1612,806,785
1613,1114,786
1592,1462,781
1619,2042,789
1600,727,785
1621,1364,790
1627,1742,793
1632,342,793
1625,678,792
1615,1817,786
1635,1207,795
1622,1654,791
1631,133,793
1629,2639,792
1623,185,793
1626,755,792
1617,1790,790
1620,703,790
1639,1168,799
1641,1269,799
1628,2420,792
1624,264,792
1640,1235,801
1630,51,794
1637,1062,799
1636,328,798
1658,495,808
1634,1539,796
1633,1720,795
1642,418,800
1656,2059,807
1647,352,808
1661,247,808
1655,1295,807
1651,2095,806
1638,564,799
1643,1087,801
1649,2306,806
1645,115,803
1644,988,802
1665,1452,811
1648,1956,805
1650,2355,804
1657,2434,808
1653,436,807
1654,760,809
1652,2602,806
1646,262,805
1669,1134,813
1668,1830,813
1662,602,811
1663,814,811
1660,1697,808
1672,2111,816
1681,572,820
1671,861,816
1675,1349,816
1676,320,820
1659,791,809
1689,513,824
1666,1543,812
1682,1038,819
1683,1103,818
1664,1216,810
1667,775,813
1678,2036,818
1684,2008,819
1670,2573,815
1673,163,816
1674,1176,815
1685,2344,819
1679,529,819
1680,545,819
1688,1864,823
1677,686,818
1701,1208,831
1687,1686,821
1703,1153,832
1686,66,821
1699,1235,830
1691,1883,821
1692,725,828
1693,1289,827
1697,2304,828
1702,228,832
1690,789,823
1707,1263,834
1695,2248,827
1698,764,830
1710,1174,836
1704,1715,833
1705,1981,832
1706,207,834
1694,1772,826
1700,411,831
1717,1409,840
1709,2091,835
1715,779,841
1696,1636,828
1708,1659,833
1714,143,838
1711,1549,835
1719,124,841
1716,1119,839
1727,1302,849
1722,1096,845
1713,1777,837
1712,661,837
1728,2546,849
1736,1322,852
1726,80,846
1724,189,845
1718,1961,840
1721,343,843
1723,1679,844
1720,1815,842
1729,37,859
1733,173,852
1738,1135,854
1725,1695,845
1743,1733,855
1748,2111,857
1732,2302,850
1734,482,851
1747,797,858
1772,1439,869
1731,1969,850
1741,2191,853
1740,1851,855
1735,515,851
1739,1546,853
1759,318,863
1751,386,859
1754,1920,860
1746,2629,857
1752,582,859
1730,660,851
1737,1048,853
1750,1706,858
1744,2014,855
1745,2534,853
1742,1496,854
1749,211,857
1753,1791,860
1756,2276,863
1761,1986,864
1758,255,863
1760,2087,863
1755,2414,861
1757,129,863
1763,2614,864
1764,200,867
1770,652,871
1781,2056,874
1779,1037,871
1768,7,867
1780,1117,874
1767,2122,866
1769,617,869
1766,1081,866
1771,2134,873
1762,2528,864
1773,142,875
1775,677,873
1776,690,872
1765,775,867
1777,2476,872
1774,402,873
1787,994,881
1788,1060,879
1783,461,877
1784,1600,877
1782,2628,876
1785,1680,879
1793,1803,883
1804,2069,886
1778,162,874
1810,2655,889
1799,793,885
1806,1100,886
1796,73,884
1791,306,884
1786,2026,879
1811,280,889
1790,293,882
1803,1249,885
1789,2572,880
1797,97,884
1807,205,887
1792,541,884
1800,1636,886
1795,2401,883
1813,2354,885
1794,2368,883
1798,480,883
1801,1947,885
1805,2499,886
1808,357,888
1802,2015,885
1812,1755,891
1830,2136,905
1809,2467,887
1815,249,894
1823,1505,901
1820,155,895
1818,44,895
1816,1038,893
1826,1210,901
1817,2383,893
1814,709,892
1824,179,902
1822,530,896
1821,1160,897
1827,8,902
1819,111,895
1825,483,901
1829,638,903
1850,2415,907
1839,347,908
1841,1532,907
1836,1388,906
1835,731,906
1837,123,908
1832,230,906
1847,586,910
1828,831,904
1833,890,906
1842,2492,909
1831,206,906
1840,1174,908
1844,1096,910
1834,2083,905
1843,523,910
1848,665,909
1855,1072,914
1845,1346,909
1846,319,910
1853,1796,913
1838,305,909
1852,444,911
1867,427,923
1861,745,916
1857,540,917
1860,2248,916
1858,759,916
1851,2518,910
1856,1123,914
1849,2226,911
1868,1428,924
1859,1574,916
1854,294,915
1898,787,936
1871,1293,927
1880,1656,929
1862,561,918
1863,1264,918
1876,1231,927
1866,1605,923
1864,1049,923
1873,1712,926
1865,1403,923
1870,2471,923
1878,258,928
1881,309,932
1882,1086,931
1872,1388,927
1869,1740,924
1889,1345,934
1874,2187,927
1877,2621,927
1903,2166,938
1875,2275,927
1887,486,933
1879,1142,929
1906,639,938
1883,1125,930
1916,1362,944
1894,107,936
1895,175,935
1892,980,935
1890,1810,934
1909,1982,936
1893,2041,934
1884,40,931
1905,205,940
1897,368,935
1904,2309,939
1891,2063,933
1885,2460,932
1886,460,933
1911,834,940
1888,1319,933
1901,324,939
1910,684,941
1908,1527,940
1900,2523,938
1896,297,935
1907,1151,941
1902,1948,939
1899,188,938
1913,581,944
1912,1255,942
1925,1072,949
1917,1501,944
1921,222,946
1934,516,955
1923,1167,944
1924,1215,946
1931,1683,951
1920,2217,944
1928,1036,951
1932,1998,952
1919,2071,945
1914,251,946
1927,919,951
1926,1444,951
1959,281,959
1929,295,952
1915,1114,945
1922,608,945
1933,1309,956
1918,1565,945
1956,705,964
1941,814,958
1937,1182,957
1951,2682,959
1935,1099,955
1930,1473,952
1938,1600,957
1946,1636,959
1939,400,957
1936,597,957
1954,1277,961
1947,1715,959
1948,1226,961
1952,93,963
1940,456,958
1944,1154,960
1963,353,966
1942,1256,959
1949,1563,962
1953,382,963
1957,722,965
1945,1335,959
1943,2213,962
1955,254,965
1964,1511,967
1965,2141,967
1960,680,965
