,cv,entropy,nonzero_ratio
BLANK_0367,194.00522,2.5840635,2.6600579005936363e-05
BLANK_0418,194.88046,2.577608,2.6600579005936363e-05
BLANK_0421,196.02245,2.5692654,2.6600579005936363e-05
NegControlCodeword_0507,213.19682,2.316445,2.2167149171613636e-05
BLANK_0055,214.39055,2.3083017,2.2167149171613636e-05
NegControlCodeword_0530,213.04253,2.3174903,2.2167149171613636e-05
BLANK_0165,213.15169,2.3166919,2.2167149171613636e-05
BLANK_0221,214.6341,2.3068745,2.2167149171613636e-05
BLANK_0363,213.64732,2.3134444,2.2167149171613636e-05
BLANK_0397,213.70125,2.312914,2.2167149171613636e-05
NegControlCodeword_0513,213.07921,2.3172836,2.2167149171613636e-05
BLANK_0401,214.42567,2.308069,2.2167149171613636e-05
BLANK_0448,238.322,1.9946975,1.773371933729091e-05
BLANK_0361,237.60355,1.9991422,1.773371933729091e-05
BLANK_0377,238.52982,1.9935713,1.773371933729091e-05
BLANK_0371,238.3187,1.9948163,1.773371933729091e-05
NegControlCodeword_0517,238.63225,1.9930787,1.773371933729091e-05
NegControlCodeword_0511,237.60326,1.9991481,1.773371933729091e-05
BLANK_0472,238.09247,1.9961727,1.773371933729091e-05
