,cv,entropy,nonzero_ratio
LY6D,29.977402,5.385709,0.001121824835065039
TMEM174,30.787884,5.3123198,0.0010684046048238468
KNG1,31.060158,5.280931,0.0010416944897032505
RETN,32.016216,5.1996393,0.0009882742594620583
TCF15,32.805588,5.123885,0.0009348540292208659
ABCC11,34.96901,4.944315,0.0008280135687384813
CD70,34.86562,4.9487524,0.0008280135687384813
CRHBP,38.869778,4.6369133,0.0006677528780149042
MYBPC1,39.62433,4.579483,0.000641042762894308
NegControlProbe_00042,42.318783,4.388529,0.0005609124175325195
PDCD1,43.385956,4.317143,0.0005342023024119234
NegControlCodeword_0501,45.772297,4.164322,0.00048078207217073105
BLANK_0037,46.011242,4.1564703,0.00048078207217073105
NegControlCodeword_0500,48.57732,3.9932673,0.0004273618419295387
NegControlProbe_00014,48.77023,3.988577,0.0004273618419295387
NegControlProbe_00017,50.214725,3.8991237,0.00040065172680894254
NegControlCodeword_0503,54.025383,3.6905158,0.0003472314965677502
BLANK_0006,58.845554,3.4461756,0.00029381126632655786
NegControlCodeword_0502,58.52884,3.4543524,0.00029381126632655786
NegControlProbe_00012,61.424038,3.3157003,0.0002671011512059617
NegControlProbe_00025,61.508057,3.3140461,0.0002671011512059617
NegControlProbe_00031,61.72283,3.3090546,0.0002671011512059617
NegControlProbe_00003,64.73959,3.1643195,0.00024039103608536553
NegControlProbe_00022,68.923615,2.9889014,0.00021368092096476935
NegControlProbe_00016,68.975204,2.9880617,0.00021368092096476935
NegControlProbe_00013,68.59984,2.9958594,0.00021368092096476935
NegControlProbe_00009,68.924706,2.9889786,0.00021368092096476935
NegControlProbe_00035,68.60985,2.9955223,0.00021368092096476935
NegControlProbe_00002,73.3917,2.801812,0.0001869708058441732
BLANK_0069,73.19308,2.8059716,0.0001869708058441732
NegControlProbe_00004,74.11948,2.7886493,0.0001869708058441732
NegControlCodeword_0535,86.60093,2.3205845,0.00013355057560298085
NegControlCodeword_0537,86.93992,2.31506,0.00013355057560298085
NegControlCodeword_0538,96.991425,1.9962288,0.00010684046048238467
NegControlCodeword_0505,97.25591,1.9921074,0.00010684046048238467
NegControlProbe_00033,111.71393,1.5848501,8.01303453617885e-05
NegControlCodeword_0526,111.71108,1.584872,8.01303453617885e-05
NegControlCodeword_0525,112.00201,1.5811765,8.01303453617885e-05
NegControlProbe_00019,112.1119,1.5797365,8.01303453617885e-05
NegControlProbe_00024,113.97268,1.55645,8.01303453617885e-05
NegControlCodeword_0531,111.86723,1.5828812,8.01303453617885e-05
