CELL_ID,CELL_TYPE
67968,CD8 T cell
67969,Stromal / Fibroblast
67970,Macrophage
67971,Tumor (Podo+)
67972,CD4 T cell
67973,Granulocyte
67974,Tumor (CD15+)
67975,Tumor
67976,CD8 T cell
67977,Stromal / Fibroblast
67978,Tumor (CD20+)
67979,CD8 T cell
67980,Tumor (CD21+)
67981,Vessel
67982,Tumor (Ki67+)
67983,Vessel
67984,Tumor (Podo+)
67985,Tumor (CD21+)
67986,Granulocyte
67987,Macrophage
67988,Granulocyte
67990,Stromal / Fibroblast
67991,Macrophage
67992,Vessel
67993,Tumor (Ki67+)
67994,Macrophage
67995,CD4 T cell
67996,Tumor (CD21+)
67997,Tumor (CD20+)
67998,Vessel
67999,Stromal / Fibroblast
68000,Vessel
68001,Vessel
68002,Stromal / Fibroblast
68003,CD4 T cell
68004,Stromal / Fibroblast
68005,Vessel
68006,Tumor (CD21+)
68007,APC
68008,Tumor (Ki67+)
68009,Vessel
68010,Stromal / Fibroblast
68011,Naive immune cell
68012,Lymph vessel
68013,Tumor (CD20+)
68015,Macrophage
68016,Tumor
68017,Tumor
68018,Stromal / Fibroblast
68019,Macrophage
68020,CD4 T cell
68021,CD4 T cell
68022,Tumor (Podo+)
68023,Vessel
68024,Vessel
68025,Tumor (Ki67+)
68026,Tumor (Ki67+)
68027,Stromal / Fibroblast
68028,Granulocyte
68029,Granulocyte
68030,Tumor (CD20+)
68031,Tumor (Podo+)
68032,CD4 T cell
68033,Stromal / Fibroblast
68034,Vessel
68035,Naive immune cell
68036,Tumor
68037,Stromal / Fibroblast
68038,Stromal / Fibroblast
68039,Tumor
68040,Granulocyte
68041,Tumor (Ki67+)
68042,APC
68043,Tumor
68044,Stromal / Fibroblast
68045,Macrophage
68046,Macrophage
68047,Tumor (Podo+)
68048,Stromal / Fibroblast
68049,CD4 T cell
68050,Macrophage
68051,Stromal / Fibroblast
68052,Stromal / Fibroblast
68053,Stromal / Fibroblast
68054,Tumor (CD20+)
68055,Tumor (Ki67+)
68056,Stromal / Fibroblast
68057,Macrophage
68058,Lymph vessel
68059,Macrophage
68060,Stromal / Fibroblast
68061,Tumor (CD20+)
68062,Tumor (CD21+)
68063,Tumor (Ki67+)
68064,Tumor (CD21+)
68065,CD4 T cell
68066,Macrophage
68067,Stromal / Fibroblast
68068,Tumor (Ki67+)
68069,Tumor (Ki67+)
68070,Tumor (Ki67+)
68071,Vessel
68072,Tumor (CD20+)
68073,Macrophage
68074,Tumor (Podo+)
68075,B cell
68076,Tumor (CD15+)
68077,Stromal / Fibroblast
68078,Lymph vessel
68079,Granulocyte
68080,Tumor (Ki67+)
68081,Macrophage
68082,Vessel
68083,CD4 T cell
68084,Stromal / Fibroblast
68085,CD8 T cell
68086,Macrophage
68087,Macrophage
68088,Tumor (CD21+)
68089,Vessel
68090,Tumor (Podo+)
68091,Tumor (Podo+)
68092,Tumor
68093,Macrophage
68094,Macrophage
68095,Tumor (Ki67+)
68096,CD4 T cell
68097,Vessel
68098,Tumor (CD21+)
68099,Stromal / Fibroblast
68100,Stromal / Fibroblast
68101,CD4 T cell
68102,Macrophage
68103,Macrophage
68104,Tumor (Ki67+)
68105,Tumor (Ki67+)
68106,Vessel
68107,Tumor (Ki67+)
68108,Stromal / Fibroblast
68109,Vessel
68110,Tumor (CD21+)
